DATE,KSE100
1997-07-31,1989.510009765625
1997-08-31,1762.2900390625
1997-09-30,1849.699951171875
1997-10-31,1875.010009765625
1997-11-30,1782.9200439453125
1997-12-31,1753.8199462890625
1998-01-31,1609.1600341796875
1998-02-28,1681.8299560546875
1998-03-31,1553.06005859375
1998-04-30,1562.219970703125
1998-05-31,1040.18994140625
1998-06-30,879.6099853515625
1998-07-31,920.47998046875
1998-08-31,970.780029296875
1998-09-30,1111.4599609375
1998-10-31,841.7000122070312
1998-11-30,1050.969970703125
1998-12-31,945.239990234375
1999-01-31,900.5800170898438
1999-02-28,926.2100219726562
1999-03-31,1056.75
1999-04-30,1107.02001953125
1999-05-31,1185.22998046875
1999-06-30,1054.6700439453125
1999-07-31,1251.7900390625
1999-08-31,1206.510009765625
1999-09-30,1199.2900390625
1999-10-31,1189.3199462890625
1999-11-30,1247.4000244140625
1999-12-31,1408.9100341796875
2000-01-31,1772.8399658203125
2000-02-29,1930.6099853515625
2000-03-31,1999.68994140625
2000-04-30,1901.0699462890625
2000-05-31,1536.6500244140625
2000-06-30,1520.72998046875
2000-07-31,1554.9000244140625
2000-08-31,1518.27001953125
2000-09-30,1564.780029296875
2000-10-31,1489.3199462890625
2000-11-30,1276.050048828125
2000-12-31,1507.5899658203125
2001-01-31,1461.5999755859375
2001-02-28,1423.1800537109375
2001-03-31,1324.4100341796875
2001-04-30,1367.050048828125
2001-05-31,1377.6099853515625
2001-06-30,1366.4300537109375
2001-07-31,1228.8900146484375
2001-08-31,1258.4300537109375
2001-09-30,1133.4300537109375
2001-10-31,1406.050048828125
2001-11-30,1358.1600341796875
2001-12-31,1273.06005859375
2002-01-31,1620.1800537109375
2002-02-28,1765.949951171875
2002-03-31,1852.18994140625
2002-04-30,1898.949951171875
2002-05-31,1663.3399658203125
2002-06-30,1770.1099853515625
2002-07-31,1787.5899658203125
2002-08-31,1974.5799560546875
2002-09-30,2018.75
2002-10-31,2278.5400390625
2002-11-30,2285.8701171875
2002-12-31,2701.409912109375
2003-01-31,2545.070068359375
2003-02-28,2399.139892578125
2003-03-31,2715.7099609375
2003-04-30,2902.409912109375
2003-05-31,3099.0400390625
2003-06-30,3402.469970703125
2003-07-31,3933.3701171875
2003-08-31,4461.47021484375
2003-09-30,4027.340087890625
2003-10-31,3781.030029296875
2003-11-30,4068.2900390625
2003-12-31,4471.60009765625
2004-01-31,4841.330078125
2004-02-29,4840.3701171875
2004-03-31,5106.66015625
2004-04-30,5430.43017578125
2004-05-31,5502.72021484375
2004-06-30,5279.18017578125
2004-07-31,5289.919921875
2004-08-31,5346.14990234375
2004-09-30,5217.64990234375
2004-10-31,5332.240234375
2004-11-30,5567.7900390625
2004-12-31,6218.39990234375
2005-01-31,6747.39013671875
2005-02-28,8260.0595703125
2005-03-31,7770.330078125
2005-04-30,7104.64990234375
2005-05-31,6857.669921875
2005-06-30,7450.1201171875
2005-07-31,7178.93017578125
2005-08-31,7796.85986328125
2005-09-30,8225.66015625
2005-10-31,8247.3701171875
2005-11-30,9026.58984375
2005-12-31,9556.6103515625
2006-01-31,10523.3701171875
2006-02-28,11456.1201171875
2006-03-31,11485.900390625
2006-04-30,11342.169921875
2006-05-31,9800.6904296875
2006-06-30,9989.41015625
2006-07-31,10497.66015625
2006-08-31,10063.5400390625
2006-09-30,10512.51953125
2006-10-31,11327.7099609375
2006-11-30,10619.4697265625
2006-12-31,10040.5
2007-01-31,11272.330078125
2007-02-28,11180.01953125
2007-03-31,11271.58984375
2007-04-30,12369.7001953125
2007-05-31,12961.1396484375
2007-06-30,13772.4599609375
2007-07-31,13739.5302734375
2007-08-31,12214.259765625
2007-09-30,13353.6796875
2007-10-31,14321.3896484375
2007-11-30,13998.51953125
2007-12-31,14077.16015625
2008-01-31,14016.9404296875
2008-02-29,14934.2998046875
2008-03-31,15125.8896484375
2008-04-30,15122.4697265625
2008-05-31,12130.509765625
2008-06-30,12289.0302734375
2008-07-31,10583.580078125
2008-08-31,9208.259765625
2008-09-30,9179.6796875
2008-10-31,9182.8798828125
2008-11-30,9187.099609375
2008-12-31,5865.009765625
2009-01-31,5377.419921875
2009-02-28,5727.4599609375
2009-03-31,6860.22021484375
2009-04-30,7202.10009765625
2009-05-31,7276.60986328125
2009-06-30,7162.18017578125
2009-07-31,7720.93017578125
2009-08-31,8675.669921875
2009-09-30,9349.669921875
2009-10-31,9159.1796875
2009-11-30,9204.5703125
2009-12-31,9386.919921875
2010-01-31,9614.1904296875
2010-02-28,9657.7900390625
2010-03-31,10178.4296875
2010-04-30,10428.1201171875
2010-05-31,9521.150390625
2010-06-30,9721.91015625
2010-07-31,10519.01953125
2010-08-31,9813.0498046875
2010-09-30,10013.3095703125
2010-10-31,10598.400390625
2010-11-30,11234.759765625
2010-12-31,12022.4599609375
2011-01-31,12359.3603515625
2011-02-28,11289.2197265625
2011-03-31,11809.5400390625
2011-04-30,12057.5400390625
2011-05-31,12123.150390625
2011-06-30,12496.0302734375
2011-07-31,12190.3701171875
2011-08-31,11070.580078125
2011-09-30,11761.9697265625
2011-10-31,11868.8798828125
2011-11-30,11532.830078125
2011-12-31,11347.66015625
2012-01-31,11874.8896484375
2012-02-29,12877.8798828125
2012-03-31,13761.759765625
2012-04-30,13990.3798828125
2012-05-31,13786.6201171875
2012-06-30,13801.41015625
2012-07-31,14577.0
2012-08-31,15391.580078125
2012-09-30,15444.8203125
2012-10-31,15910.1103515625
2012-11-30,16573.859375
2012-12-31,16905.330078125
2013-01-31,17242.740234375
2013-02-28,18173.669921875
2013-03-31,17947.759765625
2013-04-30,18982.419921875
2013-05-31,21823.05078125
2013-06-30,21005.689453125
2013-07-31,23312.76953125
2013-08-31,22160.849609375
2013-09-30,21832.6796875
2013-10-31,22775.849609375
2013-11-30,24302.189453125
2013-12-31,25261.140625
2014-01-31,26784.33984375
2014-02-28,25783.279296875
2014-03-31,27159.91015625
2014-04-30,28912.98046875
2014-05-31,29737.689453125
2014-06-30,29652.529296875
2014-07-31,30314.0703125
2014-08-31,28567.740234375
2014-09-30,29726.390625
2014-10-31,30376.529296875
2014-11-30,31197.98046875
2014-12-31,32131.279296875
2015-01-31,34443.87109375
2015-02-28,33632.19140625
2015-03-31,30233.869140625
2015-04-30,33729.9609375
2015-05-31,33056.7890625
2015-06-30,34398.859375
2015-07-31,35741.51953125
2015-08-31,34726.51171875
2015-09-30,32287.41015625
2015-10-31,34261.6015625
2015-11-30,32255.19921875
2015-12-31,32816.30859375
2016-01-31,31298.599609375
2016-02-29,31369.509765625
2016-03-31,33139.0
2016-04-30,34719.2890625
2016-05-31,36061.55859375
2016-06-30,37783.5390625
2016-07-31,39505.28125
2016-08-31,39809.578125
2016-09-30,40541.80859375
2016-10-31,39893.83984375
2016-11-30,42622.37109375
2016-12-31,47806.96875
2017-01-31,48757.671875
2017-02-28,48534.23046875
2017-03-31,48155.9296875
2017-04-30,49300.8984375
2017-05-31,50591.5703125
2017-06-30,46565.2890625
2017-07-31,46010.44921875
2017-08-31,41206.98828125
2017-09-30,42409.26953125
2017-10-31,39617.19140625
2017-11-30,40010.359375
2017-12-31,40471.48046875
2018-01-31,44049.05078125
2018-02-28,43239.44140625
2018-03-31,45489.62109375
2018-04-30,45488.859375
2018-05-31,42846.640625
2018-06-30,41910.8984375
2018-07-31,42712.4296875
2018-08-31,41742.23828125
2018-09-30,40998.58984375
2018-10-31,41649.359375
2018-11-30,40496.03125
2018-12-31,37066.671875
2019-01-31,40799.51953125
2019-02-28,39054.6015625
2019-03-31,38649.33984375
2019-04-30,36784.44140625
2019-05-31,35974.7890625
2019-06-30,33901.578125
2019-07-31,31938.48046875
2019-08-31,29672.119140625
2019-09-30,32078.849609375
2019-10-31,34203.6796875
2019-11-30,39287.6484375
2019-12-31,40735.078125
2020-01-31,41630.94140625
2020-02-29,37983.62109375
2020-03-31,29231.630859375
2020-04-30,34111.640625
2020-05-31,33931.23046875
2020-06-30,34421.921875
2020-07-31,39258.44140625
2020-08-31,41110.9296875
2020-09-30,40571.48046875
2020-10-31,39888.0
2020-11-30,41068.8203125
2020-12-31,43755.37890625
2021-01-31,46385.5390625
2021-02-28,45865.01953125
2021-03-31,44587.8515625
2021-04-30,44262.3515625
2021-05-31,47126.2890625
2021-06-30,47356.01953125
2021-07-31,47055.2890625
2021-08-31,47419.73828125
2021-09-30,44899.6015625
